time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates,train/approx_kl,train/std,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
321,1158.38,362,57,116736,-11.160935999999998,0.06713477522134781,560,0.06531544,0.6480519771575928,0.212792652589269,0.5734468698501587,-0.007726446000742726,0.003,0.34638671875,-1.9759105939418078,0.2,,
327,1149.34,363,58,118784,-10.648885389999998,-0.001979626715183258,570,0.0770732,0.6458992958068848,0.3420130726066418,0.6303815245628357,-0.006668109566089697,0.003,0.352880859375,-1.9790269944816827,0.2,,
332,1149.34,363,59,120832,-10.701199049999998,0.037381477653980255,580,0.059560966,0.6247891187667847,0.4206493113422766,0.6726903319358826,-0.011304365887190216,0.003,0.34775390625,-1.9257993679493666,0.2,,
337,1149.34,363,60,122880,-10.17973097,0.06561128795146942,590,0.07285314,0.6239697933197021,0.399133880273439,0.5415980815887451,-0.01482923704534187,0.003,0.35048828125,-1.9002605784684419,0.2,,
342,1149.34,364,61,124928,-9.625157,0.08927394449710846,600,0.07995902,0.6108940839767456,0.5107578041031957,0.6041741073131561,-0.013496505933289882,0.003,0.381982421875,-1.8631713639944791,0.2,,
348,1149.34,364,62,126976,-9.36540503,0.6318399906158447,610,0.056312446,0.6227021813392639,0.6834776597097516,0.5409146547317505,-0.009515895023650956,0.003,0.37109375,-1.8884983379393816,0.2,,
353,1149.34,364,63,129024,-9.41284839,0.02899160049855709,620,0.06190446,0.6505035161972046,0.3613719370798208,0.5141450762748718,-0.005048416521458421,0.003,0.369091796875,-1.977150297164917,0.2,,
358,1149.34,365,64,131072,-9.26068715,0.08226102590560913,630,0.0755758,0.6453526616096497,0.33171723552513865,0.4441601037979126,0.0004911350988550112,0.003,0.381005859375,-1.9828300189226866,0.2,,
364,1149.34,365,65,133120,-8.946444970000002,-0.015471205115318298,640,0.05639105,0.6453897953033447,0.24146883958019316,0.8249266445636749,-0.017129486319754507,0.003,0.359765625,-1.9581643968820572,0.2,,
369,1149.34,365,66,135168,-8.866293800000001,0.0447855181992054,650,0.050856955,0.6409409046173096,0.2501258779782802,0.6303929388523102,-0.009519801748683675,0.003,0.352734375,-1.9477908011525868,0.2,,
375,1150.12,365,67,137216,-8.543007119999999,0.06670628488063812,660,0.060303837,0.6285955905914307,0.2858848105650395,0.6586721539497375,-0.012019758955284487,0.003,0.377978515625,-1.8986347798258065,0.2,,
380,1150.12,365,68,139264,-8.53309225,-0.007160764187574387,670,0.072966695,0.6152411103248596,0.2494215894374065,0.5727754235267639,-0.011729991932224949,0.003,0.36943359375,-1.8928896233439445,0.2,,
385,1150.12,366,69,141312,-8.36165615,0.05834629386663437,680,0.0744243,0.6068934202194214,0.11517626708373427,0.7310922145843506,-0.005506363148742821,0.003,0.415771484375,-1.835057296603918,0.2,,
391,1150.12,366,70,143360,-8.83848979,0.06853114068508148,690,0.08373027,0.5948193669319153,0.2550514485221356,0.27871084213256836,-0.009721034446556587,0.003,0.407373046875,-1.832893229275942,0.2,,
396,1150.12,366,71,145408,-8.485776900000001,0.05483788996934891,700,0.09180578,0.5902352333068848,0.22374813458882273,0.763331800699234,-0.01158583901124075,0.003,0.43603515625,-1.7956449575722218,0.2,,
401,1150.12,366,72,147456,-8.336546750000002,0.07143303751945496,710,0.07021563,0.5895493626594543,0.36916434252634645,0.46029019355773926,-0.004415419937868137,0.003,0.3791015625,-1.778129417821765,0.2,,
407,1150.12,367,73,149504,-8.399582289999998,0.017577417194843292,720,0.085660905,0.5797256231307983,0.3142314713681117,0.14032220840454102,-0.007435544473992195,0.003,0.402880859375,-1.767212961986661,0.2,,
412,1150.12,367,74,151552,-8.71952718,0.03264278918504715,730,0.08916576,0.5647280216217041,0.42152380996849387,0.517579197883606,-0.016908200153557117,0.003,0.3951171875,-1.7161335788667202,0.2,,
